epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.009,2.05939,3.95224,2.08732,0.19678,0.06991,0.04348,0.02125,1.76634,4.40131,2.45689,0.000357107,0.000357107,0.000357107
2,544.399,1.86145,2.45878,1.87079,0.3431,0.21211,0.21331,0.09297,1.9188,2.90297,2.68106,0.000718438,0.000718438,0.000718438
3,798.382,1.83934,2.15016,1.88162,0.16331,0.35793,0.17298,0.05678,2.1609,4.35283,2.84045,0.0010706,0.0010706,0.0010706
4,1053.25,1.81261,2.04061,1.92015,0.23338,0.46291,0.23373,0.08752,2.21041,4.02815,2.64169,0.00106975,0.00106975,0.00106975
5,1307.53,1.80787,2.01116,1.8887,0.23585,0.39398,0.25414,0.10322,1.81223,9.84355,2.55614,0.00105601,0.00105601,0.00105601
6,1560.29,1.7535,1.9142,1.87662,0.26068,0.43584,0.32185,0.12645,2.13109,3.11093,2.5139,0.00104226,0.00104226,0.00104226
7,1813.94,1.72253,1.87874,1.79683,0.38578,0.51294,0.40444,0.17441,2.0377,2.32725,2.44785,0.00102851,0.00102851,0.00102851
8,2068.48,1.72147,1.84257,1.82066,0.44266,0.48202,0.45201,0.17473,2.0491,2.4953,2.51617,0.00101476,0.00101476,0.00101476
9,2325.14,1.69701,1.72612,1.79198,0.37654,0.42341,0.3644,0.14087,2.02036,2.34304,2.41684,0.00100101,0.00100101,0.00100101
10,2583.71,1.6946,1.71169,1.75254,0.49561,0.54528,0.54187,0.23655,1.88444,2.01443,2.33292,0.000987262,0.000987262,0.000987262
11,2840.09,1.66608,1.68908,1.73322,0.42944,0.53334,0.46403,0.20115,1.73079,2.33899,2.2822,0.000973514,0.000973514,0.000973514
12,3092.98,1.69002,1.60005,1.75289,0.42974,0.54079,0.42934,0.19175,1.71736,2.20376,2.21904,0.000959765,0.000959765,0.000959765
13,3345.17,1.64716,1.63786,1.72488,0.52034,0.50752,0.47287,0.21384,1.79724,1.99688,2.36081,0.000946016,0.000946016,0.000946016
