epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,3598.56,1.66702,1.71627,1.8004,0.61144,0.45055,0.48248,0.21446,1.76777,1.95254,2.25709,0.000932268,0.000932268,0.000932268
15,3851.17,1.71403,1.73539,1.78527,0.42309,0.47646,0.45411,0.18738,1.77661,2.27757,2.27084,0.000918519,0.000918519,0.000918519
16,4103.25,1.62716,1.59463,1.74824,0.55247,0.53651,0.52292,0.2213,1.83088,1.95978,2.41257,0.000904771,0.000904771,0.000904771
17,4355.42,1.65191,1.62345,1.725,0.50272,0.48827,0.4961,0.21698,1.84364,2.01607,2.2807,0.000891022,0.000891022,0.000891022
18,4605.77,1.5831,1.5363,1.70878,0.4287,0.51094,0.47196,0.1979,1.99483,2.34127,2.40108,0.000877273,0.000877273,0.000877273
19,4862.33,1.62224,1.59837,1.70889,0.5523,0.51548,0.56817,0.2423,1.81591,2.09369,2.21434,0.000863525,0.000863525,0.000863525
20,5118.05,1.58755,1.51034,1.67446,0.56652,0.52013,0.53779,0.2296,1.85217,1.78519,2.26891,0.000849776,0.000849776,0.000849776
21,5372.24,1.6171,1.48349,1.68375,0.5442,0.57293,0.54474,0.25128,1.66756,1.86097,2.11971,0.000836027,0.000836027,0.000836027
22,5624.03,1.55896,1.48039,1.67457,0.53534,0.57978,0.55257,0.26347,1.71752,1.80359,2.16165,0.000822279,0.000822279,0.000822279
23,5874.06,1.55444,1.5028,1.70806,0.62521,0.62306,0.59389,0.27898,1.64287,1.7075,2.15638,0.00080853,0.00080853,0.00080853
24,6126.11,1.57008,1.47763,1.66099,0.63736,0.58347,0.6062,0.27357,1.78796,1.59432,2.35607,0.000794782,0.000794782,0.000794782
25,6379.94,1.55211,1.42706,1.66449,0.56893,0.55242,0.56252,0.27942,1.63576,1.69314,2.16019,0.000781033,0.000781033,0.000781033
26,6649.54,1.55324,1.40855,1.63947,0.63283,0.62596,0.59769,0.26519,1.71574,1.72273,2.25354,0.000767284,0.000767284,0.000767284
27,6910.67,1.52468,1.39137,1.6513,0.62551,0.63053,0.6083,0.28266,1.67984,1.66865,2.1171,0.000753536,0.000753536,0.000753536
28,7164.92,1.54088,1.38602,1.65379,0.67072,0.56223,0.61537,0.29124,1.75593,1.61941,2.20486,0.000739787,0.000739787,0.000739787
29,7420.41,1.51395,1.32116,1.60875,0.67883,0.62163,0.64596,0.30752,1.6688,1.54713,2.12677,0.000726038,0.000726038,0.000726038
30,7676.41,1.5359,1.33961,1.62582,0.62722,0.62899,0.65975,0.3306,1.65493,1.46369,2.15328,0.00071229,0.00071229,0.00071229
31,7933.21,1.51438,1.38908,1.62961,0.59278,0.65735,0.65121,0.33004,1.59569,1.38597,2.09559,0.000698541,0.000698541,0.000698541
32,8188.47,1.56754,1.35272,1.62699,0.60256,0.65184,0.65073,0.30832,1.66016,1.52133,2.14345,0.000684793,0.000684793,0.000684793
33,8446.11,1.51269,1.36419,1.60696,0.60222,0.63711,0.62761,0.28269,1.73971,1.40303,2.21158,0.000671044,0.000671044,0.000671044
34,8767.92,1.47543,1.32582,1.6197,0.71911,0.56795,0.6699,0.32445,1.62522,1.3975,2.11594,0.000657295,0.000657295,0.000657295
35,9134.66,1.51415,1.38665,1.63467,0.69693,0.63013,0.66441,0.32818,1.63079,1.50775,2.10622,0.000643547,0.000643547,0.000643547
36,9490.69,1.50066,1.40092,1.65047,0.73029,0.5743,0.66875,0.33018,1.63377,1.42696,2.08323,0.000629798,0.000629798,0.000629798
37,9853.36,1.46263,1.27094,1.59881,0.66122,0.62696,0.66529,0.31547,1.68705,1.44123,2.17544,0.000616049,0.000616049,0.000616049
38,10214,1.49743,1.26487,1.5822,0.61315,0.67726,0.68271,0.35059,1.56684,1.52164,2.04469,0.000602301,0.000602301,0.000602301
39,10598.8,1.44541,1.23693,1.59486,0.67208,0.66022,0.67466,0.3369,1.57182,1.41001,2.06045,0.000588552,0.000588552,0.000588552
40,10965.8,1.41065,1.16944,1.52634,0.73978,0.64562,0.71453,0.36185,1.58557,1.30586,2.10738,0.000574804,0.000574804,0.000574804
41,11418.8,1.48364,1.2135,1.53412,0.71513,0.66152,0.68652,0.34868,1.62468,1.34867,2.11634,0.000561055,0.000561055,0.000561055
42,11676.2,1.50913,1.2764,1.59582,0.60827,0.73748,0.67461,0.31831,1.63383,1.43042,2.18937,0.000547306,0.000547306,0.000547306
43,11928.8,1.44717,1.20286,1.56209,0.725,0.65916,0.71468,0.36691,1.57844,1.25359,2.07645,0.000533558,0.000533558,0.000533558
44,12184.5,1.44757,1.22239,1.56368,0.72831,0.69225,0.72933,0.38904,1.52556,1.26746,2.02232,0.000519809,0.000519809,0.000519809
45,12438.4,1.43487,1.18532,1.56909,0.68265,0.60915,0.6621,0.34779,1.59866,1.39439,2.08995,0.00050606,0.00050606,0.00050606
46,12695.6,1.41067,1.20714,1.53987,0.66576,0.66854,0.71463,0.36048,1.56227,1.26445,2.08767,0.000492312,0.000492312,0.000492312
47,12950.8,1.43494,1.16635,1.52175,0.73527,0.67037,0.70587,0.34487,1.66072,1.32464,2.22754,0.000478563,0.000478563,0.000478563
48,13204.4,1.41364,1.18321,1.58277,0.69176,0.67996,0.72406,0.35706,1.60381,1.27453,2.18374,0.000464815,0.000464815,0.000464815
49,13454.6,1.38613,1.15915,1.54941,0.75923,0.6732,0.73649,0.378,1.57798,1.2472,2.0998,0.000451066,0.000451066,0.000451066
50,13707.2,1.42955,1.15732,1.52595,0.7781,0.64942,0.71917,0.34235,1.67158,1.30348,2.20096,0.000437317,0.000437317,0.000437317
51,13959,1.39554,1.12505,1.53522,0.67543,0.69075,0.71068,0.35503,1.59352,1.29179,2.10756,0.000423569,0.000423569,0.000423569
52,14211,1.37114,1.12169,1.52381,0.73559,0.66823,0.73301,0.37386,1.54954,1.20342,2.05816,0.00040982,0.00040982,0.00040982
53,14460.5,1.3693,1.0894,1.48062,0.63585,0.73816,0.72219,0.37404,1.50861,1.289,2.02804,0.000396071,0.000396071,0.000396071
54,14710.3,1.3659,1.05537,1.48839,0.7415,0.6881,0.73199,0.39048,1.48689,1.26911,2.00423,0.000382323,0.000382323,0.000382323
55,14962,1.3967,1.11669,1.54017,0.7745,0.67609,0.74472,0.39674,1.5031,1.20821,2.0277,0.000368574,0.000368574,0.000368574
56,15215.1,1.32563,1.07498,1.51576,0.73122,0.69497,0.72588,0.38002,1.48749,1.2304,2.01793,0.000354826,0.000354826,0.000354826
57,15467.9,1.33232,1.09876,1.50966,0.74089,0.71648,0.74601,0.40932,1.53448,1.16238,2.05206,0.000341077,0.000341077,0.000341077
58,15721.9,1.37402,1.04256,1.46896,0.75397,0.71217,0.74865,0.38445,1.55035,1.13413,2.06817,0.000327328,0.000327328,0.000327328
59,15974.5,1.3503,1.09501,1.52767,0.77498,0.68413,0.74544,0.38975,1.48038,1.21551,2.01193,0.00031358,0.00031358,0.00031358
60,16225.9,1.35021,1.07158,1.50759,0.79315,0.63648,0.73212,0.38223,1.49604,1.21779,2.02173,0.000299831,0.000299831,0.000299831
61,16478.4,1.35117,1.04473,1.4676,0.73816,0.69153,0.73408,0.37543,1.4829,1.2059,2.02137,0.000286083,0.000286083,0.000286083
62,16729.2,1.28843,1.01497,1.4713,0.7299,0.68249,0.73409,0.37471,1.55375,1.16614,2.0761,0.000272334,0.000272334,0.000272334
63,16980.6,1.3399,1.04032,1.47281,0.77515,0.67516,0.75038,0.39861,1.51284,1.1615,2.00385,0.000258585,0.000258585,0.000258585
64,17234,1.31416,1.00221,1.45741,0.69761,0.71675,0.7546,0.39287,1.52818,1.14381,2.08476,0.000244837,0.000244837,0.000244837
65,17488.1,1.34925,1.02758,1.46104,0.77425,0.70042,0.76373,0.41248,1.42731,1.11852,1.99931,0.000231088,0.000231088,0.000231088
66,17740.9,1.28544,1.02635,1.4819,0.74233,0.70737,0.7421,0.40021,1.48676,1.15271,2.02096,0.000217339,0.000217339,0.000217339
67,17994.8,1.35109,1.05221,1.47766,0.7876,0.68365,0.77461,0.41167,1.42456,1.13292,1.96542,0.000203591,0.000203591,0.000203591
68,18245.1,1.25147,0.94672,1.43145,0.77746,0.70422,0.77069,0.41952,1.44816,1.10166,1.99796,0.000189842,0.000189842,0.000189842
69,18499.2,1.32374,0.99953,1.46057,0.77862,0.72577,0.77114,0.42167,1.40692,1.0814,1.95695,0.000176094,0.000176094,0.000176094
70,18753.5,1.30028,0.9802,1.44698,0.76192,0.72683,0.77524,0.43269,1.40805,1.06269,1.93861,0.000162345,0.000162345,0.000162345
71,18997.9,1.31143,0.95784,1.46693,0.7463,0.70727,0.75213,0.38771,1.54129,1.18828,2.12994,0.000148596,0.000148596,0.000148596
72,19242.6,1.19266,0.86088,1.40595,0.79065,0.68737,0.76181,0.41998,1.43027,1.13383,1.99681,0.000134848,0.000134848,0.000134848
73,19485,1.23421,0.81681,1.38328,0.78158,0.69564,0.77512,0.42759,1.42518,1.11106,1.97629,0.000121099,0.000121099,0.000121099
74,19728.2,1.21653,0.83341,1.39246,0.74465,0.74634,0.77966,0.43433,1.44181,1.08211,1.97584,0.00010735,0.00010735,0.00010735
75,19971.1,1.179,0.79376,1.40812,0.72322,0.74434,0.77691,0.43319,1.41586,1.11106,1.94933,9.36017e-05,9.36017e-05,9.36017e-05
76,20215.5,1.15561,0.72826,1.35051,0.70905,0.73833,0.78015,0.42991,1.44955,1.09901,1.9993,7.98531e-05,7.98531e-05,7.98531e-05
77,20459.4,1.15074,0.75178,1.349,0.70631,0.73414,0.76997,0.42738,1.44153,1.10121,1.99206,6.61045e-05,6.61045e-05,6.61045e-05
78,20704.1,1.12688,0.75501,1.34328,0.75289,0.71665,0.77274,0.42657,1.44333,1.08746,2.02929,5.23559e-05,5.23559e-05,5.23559e-05
79,20948.7,1.14481,0.7486,1.34351,0.75532,0.72256,0.7767,0.42562,1.45159,1.08038,2.04853,3.86073e-05,3.86073e-05,3.86073e-05
80,21188.6,1.09982,0.82817,1.36357,0.74961,0.73878,0.78036,0.43764,1.41192,1.07919,1.99931,2.48586e-05,2.48586e-05,2.48586e-05
